日期,区域,产品,销售额
2026-09-01,华东,标准版,12482
2026-09-02,华南,专业版,11357
2026-09-03,华北,旗舰版,18469
2026-09-04,西南,标准版,
2026-09-05,华东,专业版,14577
2026-09-06,华南,旗舰版,15555
2026-09-07,华北,标准版,14410
2026-09-08,西南,专业版,11380
2026-09-09,华东,旗舰版,4733
2026-09-10,华南,标准版,2883
2026-09-11,华北,专业版,
2026-09-12,西南,旗舰版,6074
2026-09-13,华东,标准版,7173
2026-09-14,华南,专业版,19947
2026-09-15,华北,旗舰版,14787
2026-09-16,西南,标准版,14085
2026-09-17,华东,专业版,8514
2026-09-18,华南,旗舰版,
2026-09-19,华北,标准版,6614
2026-09-20,西南,专业版,3882
2026-09-21,华东,旗舰版,18190
2026-09-22,华南,标准版,17297
2026-09-23,华北,专业版,17116
2026-09-24,西南,旗舰版,10122
2026-09-25,华东,标准版,
2026-09-26,华南,专业版,7061
2026-09-27,华北,旗舰版,17148
2026-09-28,西南,标准版,2819
2026-09-01,华东,专业版,15790
2026-09-02,华南,旗舰版,19337
